Symbol,Company_Name,Industry_Type,Closing_Price,Opening_Price,High_Price,Low_Price,Trade_Volume,Year,GICS_Sector,GICS_Sub_Industry,Headquarters,price_change_pct,volatility_pct,price_sentiment,price_range,market_movement,volume_category,computed_price_change
A,Agilent Technologies,Unknown,128.029879943848,127.968079925537,129.332720184326,126.536199920654,1845002,1975-07-17,Health Care,Life Sciences Tools & Services,"Santa Clara, California",0.04829330747710723,2.185326423041799,Neutral,2.796520263672008,Bullish,Medium,0.04829330747710723
ABBV,AbbVie,Unknown,148.015879882812,147.999839355469,149.217600463867,146.750600036621,5503482,1975-07-17,Health Care,Biotechnology,"North Chicago, Illinois",0.010838205914851013,1.6668939898784045,Neutral,2.467000427246006,Bullish,High,0.010838205914851013
ABNB,Airbnb,Unknown,124.610300109863,124.286727813721,126.483472015381,122.465807769775,6177357.2,1975-07-17,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",0.26034340257711897,3.2325770549109727,Neutral,4.017664245605999,Bullish,High,0.26034340257711897
ABT,Abbott Laboratories,Unknown,104.266080322266,104.287559753418,105.11020010376,103.40096005249,5171762,1975-07-17,Health Care,Health Care Equipment,"North Chicago, Illinois",-0.020596350324789486,1.6389683058184386,Neutral,1.7092400512699868,Bearish,High,-0.020596350324789486
ACGL,Arch Capital Group,Unknown,74.4347598876953,74.4377600708008,75.2126802825928,73.6973599395752,1945389.6,1975-07-17,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",-0.004030458604153981,2.035687722973291,Neutral,1.5153203430176063,Bearish,Medium,-0.004030458604153981
ACN,Accenture,Unknown,300.314520629883,299.691760742188,302.726039306641,297.437039855957,2220095.2,1975-07-17,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",0.20780013643108813,1.7648130991608748,Neutral,5.288999450684003,Bullish,Medium,0.20780013643108813
ADBE,Adobe Inc.,Unknown,465.596759887695,464.763319458008,470.846119995117,459.670360351563,3112394.8,1975-07-17,Information Technology,Application Software,"San Jose, California",0.17932577610877093,2.4046130956691796,Neutral,11.175759643554045,Bullish,Medium,0.17932577610877093
ADI,Analog Devices,Unknown,181.85824041748,181.664039916992,183.637320129395,179.809679931641,3350841.6,1975-07-17,Information Technology,Semiconductors,"Wilmington, Massachusetts",0.10690090376539618,2.1069883723289222,Neutral,3.8276401977539933,Bullish,Medium,0.10690090376539618
ADM,Archer Daniels Midland,Unknown,77.8892801208496,77.9905603027344,78.679039855957,77.2145198669434,3008918.4,1975-07-17,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",-0.12986210317204006,1.8778169862208938,Neutral,1.4645199890135956,Bearish,Medium,-0.12986210317204006
ADP,Automatic Data Processing,Unknown,229.574520019531,229.600559753418,231.360280151367,227.61716027832,1757075.2,1975-07-17,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",-0.011341319862179334,1.6302747158225384,Neutral,3.743119873046993,Bearish,Medium,-0.011341319862179334
